"GEO","Perc_immi","X2018.Mean.fertility.age","X2018.fertility.rate","Divorce.rate","Divorce.percentage","Median.age","Old.Young.ratio","Child.Adult.ratio","Life.Expectancy","X2019.Educated","Unit_GDP","Unit_divorce"
"Austria",0.0118013382211423,29.5,1.47,1.8,36,43.2,27.9,34.9,81.8,42.4,0.0375599922111127,0.00182643762822738
"Belgium",0.0115447698179367,29,1.62,2,52,41.6,29.1,42.7,81.7,47.5,0.0350927740593857,0.00201370186719607
"Bulgaria",0.00328381884729499,26.2,1.56,1.5,36.4,44.1,32.5,35,75,32.5,0.00637403734464908,0.00148727742802576
"Croatia",0.00313624349462716,28.8,1.47,1.5,30.8,43.7,30.7,37.2,78.2,33.1,0.0112349843458908,0.00153695336346236
"Cyprus",0.0208908789712056,29.8,1.32,2.2,32.8,37.5,23.4,38.6,82.9,58.8,0.0217616528846362,0.00220573376610774
"Czechia",0.00428976131007155,28.4,1.71,2.4,49,42.3,29.6,37.2,79.1,35.1,0.015863322315912,0.00241835527427745
"Denmark",0.0107835388448766,29.5,1.73,2.6,48,41.8,30.1,43.3,81,49,0.0456637997299728,0.00262914003438808
"Estonia",0.00652564121918449,27.7,1.67,2.5,51.5,42,30.6,39.3,78.5,46.2,0.014753015503993,0.00250826527377304
"Finland",0.00549294036393068,29.2,1.41,2.4,50.8,42.7,34.2,42.7,81.8,47.3,0.0374869783336798,0.00244385609864878
"France",0.00511681761251788,28.7,1.88,NA,NA,41.6,31.7,48.7,82.9,47.5,0.0319737803251951,NA
"Germany ",0.00942115411284374,29.7,1.57,1.9,NA,46,32.8,34.3,81,35.5,0.0348609785062646,0.00184898163272157
"Greece",0.00715525121265606,30.4,1.35,1.8,38.3,44.6,34.1,36.9,81.9,43.1,0.018087265547178,0.00178934429156745
"Hungary",0.00482618209233915,28.2,1.55,1.9,36.6,42.6,28.5,36.1,76.2,33.4,0.0111478143934014,0.00189250606481938
"Iceland",0.0187587362146385,28.3,1.71,NA,NA,36.3,21.1,46.8,82.9,52.8,0.0407254804742977,NA
"Ireland",0.0143305588633509,30.5,1.75,NA,NA,37.3,21.2,50.8,82.3,55.4,0.0451434065217037,NA
"Italy",0.0057656348177304,31.2,1.29,1.5,47.9,46.3,35.2,34.2,83.4,27.6,0.0274284857941112,0.00151805316759672
"Latvia",0.00461424357072618,27.2,1.6,3.1,45.2,43.3,31.4,38.2,75.1,45.7,0.0120207263871065,0.00309536408940149
"Liechtenstein",0.0165850226692376,NA,1.58,NA,NA,44,25.8,35.8,83.1,NA,0.142215592266403,NA
"Lithuania",0.00662472478548299,27.8,1.63,3,40.2,43.9,30.1,37.3,76,57.8,0.0126954524111512,0.0030484749751627
"Luxembourg",0.0346318745581485,30.9,1.38,2,62.5,39.4,20.6,36.9,82.3,56.2,0.0789314441906909,0.00194170329079613
"Malta",0.0266665180859836,29.2,1.23,0.7,10.6,40.4,28,33.3,82.5,37.8,0.0175616289035353,0.000632143269598974
"Netherlands",0.00879047373873282,30,1.59,1.9,50.9,42.6,29,42.1,81.9,51.4,0.039404251655305,0.00189605895974942
"Norway",0.0117134791183234,29.5,1.56,2,45.7,39.5,25.9,44.4,82.8,49.1,0.0662237163235997,0.00198321688401287
"Poland",0.0052968766179339,27.4,1.46,1.7,33.9,40.6,25.3,36.2,77.7,46.6,0.0107343051128265,0.00171851902882515
"Portugal",0.00263564361696072,29.8,1.42,2.1,64.2,44.8,33.3,36.4,81.5,36.2,0.0176071561292982,0.00209962091610498
"Romania",0.00778092285656391,26.7,1.76,1.6,21.8,42.1,27.5,39,75.3,25.8,0.00789648312613208,0.00160431983215808
"Slovakia",0.00112827981544912,27.1,1.54,1.8,30.7,40.2,22.5,36,77.4,40.1,0.0139882955830384,0.0017646343282473
"Slovenia",0.00873849300401556,28.8,1.6,1.2,36.8,43.8,29.6,36.2,81.5,44.9,0.0186447646892606,0.00114709540258387
"Spain",0.00841116380105614,31,1.26,2.1,57.2,43.6,29.2,35.9,83.5,44.7,0.0231051987491334,0.00208705019019086
"Sweden",0.0119035384013095,29.3,1.76,2.4,46.1,40.6,31.7,44.9,82.6,52.5,0.0418893587945868,0.00236652611854038
"Switzerland",0.0178811068184348,30.9,1.52,1.9,39.2,42.4,27.4,35.9,83.8,56.1,0.062344498414014,0.0018615424821058
"United Kingdom",0.00877486184247563,29,1.68,NA,NA,40.1,28.6,44.4,81.3,50,0.0328590517170496,NA
